src,dst
175,810842
189,3662
189,4568
189,8514
189,8517
189,9303
189,11305
189,11655
189,11710
189,11897
189,12101
189,12114
189,12720
189,12735
189,13061
189,13076
189,13248
189,13459
189,13467
189,13803
189,14152
189,14310
189,14536
189,14538
189,14717
189,14968
189,15225
189,15506
189,21556
189,21572
189,24424
189,27619
189,28421
189,28552
189,29219
189,29599
189,31200
189,31302
189,32672
189,33038
189,33226
189,33761
189,33829
189,34271
189,34474
189,34764
189,35534
189,35729
189,36258
189,37831
189,38712
189,40142
189,41982
189,42055
189,44283
189,45696
189,46046
189,47124
189,47448
189,47547
189,47735
189,48346
189,48674
189,49715
189,49759
189,49883
189,50882
189,51356
189,51762
189,52083
189,53998
189,55807
189,56056
189,56061
189,56279
189,56818
189,57299
189,57589
189,59109
189,59119
189,59333
189,59575
189,59583
189,59771
189,59872
189,60486
189,60490
189,60504
189,60711
189,60715
189,60722
189,60945
189,61389
189,61394
189,61408
189,61688
189,61689
189,62337
189,62586
189,63794
189,64032
189,64224
189,64582
189,64683
189,65091
189,65155
189,65319
189,65924
189,66328
189,66906
189,67132
189,67159
189,68360
189,68718
189,69084
189,69101
189,69260
189,69431
189,70393
189,70914
189,70915
189,71986
189,72000
189,72325
189,72693
189,73148
189,73162
189,73743
189,73888
189,74554
189,74563
189,75058
189,75461
189,75923
189,76826
189,77042
189,78257
189,79036
189,80075
189,80327
189,80515
189,80866
189,81912
189,82239
189,82520
189,82588
189,83390
189,83794
189,84756
189,84757
189,85528
189,86628
189,86631
189,87291
189,87294
189,87521
189,87982
189,88256
192,232
192,3679
192,4630
192,4750
192,6693
192,7196
192,8709
192,8727
192,8732
192,9236
192,9269
192,11140
192,12270
192,76818
192,80432
192,81680
192,82564
192,82717
192,82721
192,83433
192,87641
192,89822
192,89858
192,89864
192,89867
192,89868
192,89940
192,89946
192,89948
229,2051
229,4020
229,4084
229,4163
229,4177
229,4241
229,4275
229,5021
232,3679
232,4630
232,5546
232,6839
232,7196
232,8727
232,8732
232,9236
232,83431
232,83433
232,97457
310,3384
310,4084
310,4177
310,4645
310,7331
310,7392
310,9235
310,9878
310,11140
310,11220
357,3055
357,6695
357,10090
357,10165
357,10213
357,10214
357,10218
357,10288
357,10290
357,10375
357,10378
357,10385
357,10440
357,10447
360,9268
360,10213
360,106602
372,18373
372,18555
372,18556
386,357
386,3055
386,6695
386,8999
386,10213
386,10214
386,10288
386,10290
386,10375
386,10385
386,10440
386,10447
386,77884
657,5935
657,151991
657,415241
657,508503
774,13061
774,21355
774,21417
774,21422
774,21436
774,21440
774,21536
774,21538
774,21542
774,21546
835,25787
1130,10846
1130,28703
1130,28716
1130,28761
1130,28772
1130,28845
1130,28846
1130,28852
1130,28855
1130,28865
1130,28958
1130,276412
1130,277292
1197,21546
1197,21547
1197,31108
1197,31118
1197,31187
1197,31188
1197,31193
1197,31199
1197,31204
1197,31208
1197,31355
1197,31361
1197,31362
1197,31363
1197,31365
1197,31380
1197,31383
1197,31384
1197,31388
1197,31399
1197,31450
1197,31455
1197,31483
1197,33293
1197,33307
1197,33309
1197,33310
1197,33311
1197,33312
1197,33376
1197,33395
1696,43634
1696,43635
1696,43638
1696,43639
1696,43640
1696,43641
1696,43643
1696,43645
1696,43647
1696,43651
1696,43653
1696,43657
1696,43711
1696,43720
1696,43723
1696,43725
1696,43760
1696,43762
1696,43767
1696,44053
1699,40229
1699,40336
1699,44261
1699,81816
1699,186267
1699,223207
1699,446734
1888,6577
1888,9725
1891,5076
1891,36013
1891,70837
1891,70989
1891,73910
1891,78372
1891,80392
1891,83290
1891,84757
1891,85249
1891,91654
1891,97295
1891,102174
1891,104283
1891,105129
1891,105980
1891,105987
1891,106858
1891,107213
1891,107463
1891,107956
1891,108265
1891,108397
1891,109698
1891,110919
1891,111020
1891,112270
1891,112584
1891,112603
1891,112825
1891,114399
1891,118747
1891,119263
1891,119883
1891,120276
1891,122445
1891,123911
1891,125236
1891,125772
1891,126221
1891,126490
1891,127164
1891,128003
1891,129941
1891,131657
1891,132445
1891,133031
1891,133670
1891,133887
1891,135263
1891,135680
1891,137511
1891,137813
1891,141314
1891,141518
1891,141520
1891,144443
1891,145730
1891,146023
1891,147399
1891,149416
1891,150711
1891,182090
1891,199544
1891,202141
1891,202742
1891,216605
1891,220172
1891,224946
1891,225343
1937,19535
1937,43987
1937,44039
1937,44044
2051,49302
2279,2914
2279,7733
2279,56813
2361,43720
2361,44625
2361,48789
2361,65091
2361,98418
2361,118532
2361,120276
2361,141518
2361,143046
2361,155035
2361,155784
2361,162609
2361,239095
2361,372075
2361,401218
2361,430540
2361,443391
2361,458248
2361,470118
2361,482607
2361,558060
2361,581519
2361,591322
2374,54607
2374,54609
2374,56425
2914,12601
2914,69836
3055,357
3055,386
3055,7331
3055,10211
3055,10213
3055,10290
3055,10293
3055,10375
3055,10440
3055,10447
3075,81620
3077,46249
3077,116622
3253,17681
3253,17714
3253,17718
3253,38101
3253,49983
3253,56578
3253,79146
3253,79347
3253,79459
3253,80304
3254,21125
3254,22571
3254,28300
3254,30025
3254,36931
3254,42035
3254,79459
3254,80438
3254,80524
3254,80530
3254,80598
3254,80943
3361,6577
3361,80001
3361,80591
3361,80749
3361,80752
3384,77738
3387,36309
3387,78887
3476,21542
3476,55827
3476,107542
3476,175211
3476,270876
3476,334922
3476,337989
3476,337992
3476,645320
3476,1084214
3503,4084
3503,4275
3503,8885
3503,10101
3503,81141
3503,81205
3503,81643
3503,84433
3511,3679
3511,4630
3511,5546
3511,9236
3511,20012
3511,73805
3511,83433
3662,189
3662,88538
3662,88551
3662,88716
3662,88722
3662,88723
3662,88726
3662,1107988
3679,192
3679,232
3679,3511
3679,4630
3679,5546
3679,6839
3679,7645
3679,8727
3679,9236
3679,10143
3679,73805
3679,77884
3679,82564
3679,82717
3679,82721
3679,83431
3679,83433
4020,229
4020,5935
4020,31380
4020,31740
4020,42070
4020,48104
4020,55749
4020,74718
4020,79459
4020,80196
4020,81029
4020,89870
4020,100568
4020,100571
4020,100912
4020,100914
4020,101249
4020,101405
4020,101465
4020,102541
4084,229
4084,310
4084,3503
4084,4645
4084,8885
4084,9236
4084,10165
4084,81141
4084,81671
4084,87641
4105,37626
4105,39686
4105,53421
4105,75272
4105,96474
4105,96539
4105,96741
4105,97845
4105,98198
4105,98206
4105,98317
4105,98320
4105,98331
4105,98332
4105,98334
4105,98401
4105,98404
4105,98407
4105,98408
4105,98410
4105,98416
4105,98510
4105,98512
4105,98514
4105,98516
4105,98517
4105,98721
4105,98782
4105,98790
4105,98791
4105,98793
4105,98801
4105,98896
4105,98901
4105,98905
4105,98907
4105,98911
4105,98913
4105,98915
4105,98920
4105,98993
4105,98995
4105,98996
4105,98997
4105,98998
4105,98999
4105,99001
4105,99002
4105,99003
4105,99009
4105,99074
4105,99075
4105,99076
4105,99077
4105,99080
4105,99081
4105,99085
4105,99086
4105,99087
4105,99090
4105,99091
4105,99092
4139,4084
4139,7691
4145,10385
4159,4645
4159,5235
4159,7196
4159,7595
4159,8885
4159,9074
4159,9235
4159,10101
4159,10213
4159,13826
4159,23156
4159,75496
4159,81154
4159,81205
4159,81643
4159,81671
4159,84090
4159,96252
4163,229
4163,4241
4163,4275
4163,5021
4163,6954
4163,9074
4163,10101
4163,11059
4163,74797
4163,79718
4163,81643
4163,81671
4163,84090
4163,97457
4177,229
4177,310
4177,3503
4177,4084
4177,4145
4177,4163
4177,4241
4177,4275
4177,4645
4177,5021
4177,7392
4177,8746
4177,8894
4177,8999
4177,9074
4177,10101
4177,11059
4177,19373
4177,74797
4177,74799
4177,78414
4177,80016
4177,81141
4177,81154
4177,81643
4177,84090
4177,93182
4177,95239
4177,96358
4177,96841
4177,97066
4177,97457
4177,99461
4177,99843
4177,105281
4177,120119
4177,121657
4177,163202
4177,181420
4241,229
4241,4163
4241,5021
4241,8999
4241,11059
4241,40229
4241,74797
4241,74799
4241,81643
4241,84433
4241,93182
4241,95010
4246,5076
4246,10213
4246,10214
4246,76760
4246,77022
4246,80449
4246,81141
4246,81680
4246,101550
4275,229
4275,3503
4275,4163
4275,5021
4275,10101
4275,81643
4275,84433
4275,96358
4275,97066
4275,97457
4388,72000
4388,101730
4388,101800
4388,101804
4388,101805
4388,102217
4388,102219
4388,102224
4388,102366
4388,102371
4388,102378
4388,349854
4435,4639
4435,103707
4435,116757
4435,234261
4435,277208
4435,285924
4435,666612
4439,86844
4439,116651
4439,117881
4439,129297
4439,197341
4439,218515
4439,230026
4439,239669
4439,252077
4439,662352
4449,102401
4449,102759
4469,18077
4469,110379
4469,110470
4469,110589
4469,110592
4469,110594
4469,110597
4469,110613
4469,110629
4469,110682
4469,110693
4469,110698
4469,110760
4469,110762
4469,110766
4469,110769
4549,7854
4549,75878
4549,104953
4549,105067
4549,105071
4549,105110
4568,101730
4604,112235
4604,116385
4604,116473
4604,116544
4604,116630
4604,117213
4604,117308
4611,39407
4611,83870
4611,104404
4611,104405
4611,104485
4611,104487
4630,192
4630,232
4630,3511
4630,3679
4630,4639
4630,4750
4630,5546
4630,6693
4630,6839
4630,7196
4630,7645
4630,8709
4630,8720
4630,8727
4630,8732
4630,9236
4630,10143
4630,10450
4630,73805
4630,76545
4630,77884
4630,80432
4630,80449
4630,81774
4630,82564
4630,82717
4630,82721
4630,83431
4630,83432
4630,83433
4630,84242
4630,88534
4630,89946
4630,91137
4630,94108
4630,94746
4630,105777
4630,107107
4639,3679
4639,4435
4639,4630
4639,4750
4639,5546
4639,9236
4639,50441
4639,73805
4639,76545
4639,78414
4639,103829
4645,310
4645,4084
4645,4159
4645,4177
4645,5049
4645,6693
4645,6954
4645,8885
4645,10101
4645,12928
4645,78414
4645,80449
4645,81154
4645,81671
4645,95010
4645,96358
4645,98404
4645,107794
4750,4630
4750,4639
4750,5546
4750,6839
4750,7196
4750,8720
4750,8727
4750,8732
4750,9236
4750,82717
4750,83431
4750,83433
4755,6695
4755,8894
4755,10165
4755,10211
4755,10213
4755,10375
4755,12928
4755,13445
4755,73998
4755,77022
4755,78563
4755,78849
4755,81141
4755,85215
4755,94108
4755,94753
4755,100089
4758,5051
4758,28865
4758,63297
4758,105887
4758,105888
4758,105898
4758,105900
4758,105911
4758,106084
4758,106091
4758,106155
4758,106531
4954,67834
4954,68652
4998,15935
4998,112420
4998,151190
5021,4241
5021,4275
5021,84433
5021,98921
5049,4159
5049,4645
5049,9074
5049,10213
5049,10375
5049,73998
5049,80016
5049,80351
5049,81671
5049,117255
5049,118075
5049,151190
5049,160692
5049,205064
5049,246194
5051,4758
5051,73998
5051,87108
5051,97763
5051,97768
5051,97998
5051,98362
5051,100879
5051,105911
5051,106084
5051,116134
5051,116250
5051,116253
5051,116254
5051,116580
5051,116581
5051,116622
5051,116624
5051,116627
5051,122286
5061,4750
5061,89814
5061,108944
5061,112235
5061,114134
5061,114140
5061,114142
5061,114179
5061,114180
5061,114181
5061,114378
5061,114516
5061,114522
5061,114560
5061,114567
5065,5067
5065,118337
5065,136839
5065,196344
5065,848016
5065,1089997
5067,5065
5067,12403
5067,18925
5067,97052
5067,116171
5067,118101
5067,118332
5067,118334
5067,118337
5067,118338
5067,118379
5067,118380
5067,118385
5067,118391
5067,118457
5067,118529
5067,118532
5067,118538
5067,118539
5067,118541
5067,118544
5067,118548
5067,118941
5067,118946
5067,118949
5067,118958
5076,4246
5076,7154
5076,9236
5076,10165
5076,13445
5076,73998
5076,78663
5076,78849
5076,80016
5076,80138
5076,107337
5138,12705
5138,40083
5138,85921
5138,103938
5138,108171
5138,117000
5138,117001
5235,4159
5235,74426
5235,75496
5235,76760
5235,87647
5235,87805
5235,100799
5235,101919
5235,102037
5235,118028
5235,118242
5238,60324
5238,116417
5238,116480
5238,116566
5248,40083
5248,123049
5248,123050
5248,123052
5248,123056
5248,123107
5248,123116
5248,123119
5248,123124
5248,123208
5248,123213
5248,123216
5248,123223
5248,123391
5248,123394
5248,123400
5248,123406
5248,123457
5248,123462
5248,123470
5248,123474
5248,123508
5248,123509
5248,123513
5248,123515
5248,123516
5248,123518
5248,218371
5248,420732
5248,533527
5277,119409
5277,297246
5277,744833
5293,46309
5293,207158
5293,227635
5293,233078
5293,298843
5293,554589
5293,731876
5293,892101
5299,6954
5299,43094
5299,51770
5299,95141
5299,95204
5299,119963
5299,166487
5299,254321
5370,129404
5545,127713
5545,127715
5545,127723
5546,232
5546,3511
5546,3679
5546,4630
5546,4639
5546,4750
5546,6693
5546,7196
5546,8727
5546,8732
5546,9236
5546,10143
5546,11059
5546,73805
5546,77884
5546,80432
5546,81774
5546,82717
5546,83431
5546,89946
5546,91137
5546,94753
5546,105777
5546,123381
5549,5611
5549,126720
5549,130628
5549,130629
5549,130632
5549,130648
5549,130707
5549,132138
5549,132350
5549,132436
5549,132493
5549,132502
5549,132503
5549,133065
5584,6695
5584,10213
5584,78849
5584,86491
5584,115355
5611,5549
5611,21201
5611,58424
5611,130629
5611,130631
5611,130632
5611,130642
5611,130643
5611,130648
5611,130651
5611,130707
5611,133065
5732,9236
5779,85209
5779,104907
5888,18204
5888,91742
5888,129555
5935,657
5935,8514
5935,14037
5935,21554
5935,43823
5935,44871
5935,48985
5935,53426
5935,57809
5935,61349
5935,73910
5935,75496
5935,81141
5935,81620
5935,98401
5935,98404
5935,98896
5935,103327
5935,108207
5935,110034
5935,121858
5935,121881
5935,124217
5935,127138
5935,136839
5935,160692
5935,166650
5935,166993
5935,170765
5935,186128
5935,190482
