pid,age
175,22
189,
192,22
229,21
232,22
310,21
357,21
360,
372,26
386,
644,18
657,18
774,
835,21
1112,25
1130,
1197,22
1696,18
1699,
1874,21
1888,
1891,
1937,22
2051,
2247,20
2279,18
2361,17
2374,22
2914,19
3055,
3075,18
3077,
3154,20
3253,21
3254,21
3361,19
3384,
3387,22
3476,
3503,18
3511,22
3662,29
3679,21
4020,20
4084,19
4105,
4139,28
4145,21
4159,20
4163,16
4177,18
4241,18
4246,20
4275,
4388,23
4435,
4439,
4449,47
4469,
4549,22
4568,
4604,23
4611,23
4630,22
4639,22
4645,18
4750,22
4755,20
4758,21
4954,
4998,26
5021,
5049,
5051,22
5061,19
5065,29
5067,26
5076,21
5138,
5235,22
5238,24
5248,
5277,25
5293,26
5299,23
5370,
5545,21
5546,22
5549,23
5584,21
5611,23
5732,19
5779,
5888,18
5935,
5980,20
6127,25
6207,23
6216,24
6237,
6282,
6287,
6545,
6577,20
6613,25
6693,
6695,21
6756,
6762,19
6839,19
6884,23
6903,23
6914,22
6921,23
6954,23
7014,23
7029,21
7154,27
7196,22
7241,19
7313,19
7331,21
7392,21
7462,21
7467,
7532,27
7578,25
7595,20
7645,23
7667,23
7678,
7691,28
7693,24
7719,
7733,17
7755,17
7759,17
7839,26
7854,22
8122,28
8177,23
8216,
8325,23
8346,20
8357,
8413,3
8514,19
8517,26
8626,22
8697,25
8709,21
8720,25
8727,18
8732,20
8746,20
8786,23
8794,27
8875,25
8885,
8894,20
8920,19
8934,17
8999,20
9037,25
9069,24
9074,20
9159,20
9166,20
9222,21
9235,19
9236,21
9245,25
9268,22
9269,22
9303,29
9398,23
9433,18
9526,24
9588,25
9605,21
9650,27
9657,29
9703,
9725,18
9761,34
9878,22
10030,
10090,24
10101,
10143,22
10162,21
10165,20
10211,21
10213,20
10214,21
10218,24
10251,
10288,21
10290,21
10293,
10300,18
10375,21
10378,29
10385,21
10440,
10447,21
10450,20
10456,
10457,25
10530,20
10543,22
10586,21
10591,23
10614,23
10715,23
10747,26
10752,
10767,27
10794,
10845,
10846,23
11059,18
11095,19
11140,
11212,
11215,22
11216,22
11220,21
11236,
11305,25
11321,20
11655,23
11661,28
11710,23
11864,21
11874,
11897,19
11954,20
12101,25
12114,24
12173,21
12236,25
12240,26
12243,22
12270,22
12275,20
12343,
12344,25
12369,
12403,
12435,
12463,
12547,24
12564,23
12569,21
12601,19
12632,26
12635,23
12637,25
12668,26
12686,26
12705,26
12708,17
12720,29
12735,
12922,
12928,20
13029,34
13061,21
13076,19
13143,22
13166,20
13187,23
13196,24
13248,25
13267,25
13306,21
13386,
13406,23
13445,21
13459,21
13467,25
13682,19
13803,
13826,
13834,24
14037,17
14052,20
14060,23
14152,22
14260,
14289,25
14310,26
14368,18
14491,
14527,28
14536,
14538,21
14717,21
14721,19
14771,24
14787,
14804,22
14909,23
14968,25
15225,
15372,21
15463,21
15506,20
15566,21
15793,
15836,21
15847,
15916,
15935,26
16028,21
16152,19
16207,24
16208,22
16459,
16509,
16694,23
16771,23
16877,
17180,29
17382,21
17393,
17395,23
17681,
17714,21
17718,
17870,18
17968,
18077,19
18098,25
18204,17
18356,26
18373,24
18517,18
18555,27
18556,26
18558,26
18638,23
18811,37
18855,29
18902,18
18925,26
